City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lompoc,US,34.6391,-120.4579,57.2,67,100,13.8,overcast clouds
1,Melfi,IT,40.9965,15.6514,59.0,77,20,6.91,few clouds
2,Avarua,CK,-21.2078,-159.775,78.8,94,20,3.44,light rain
3,Makakilo City,US,21.3469,-158.0858,71.6,68,75,5.75,broken clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,40,11.5,scattered clouds
5,Jamestown,US,42.097,-79.2353,64.99,55,90,9.22,overcast clouds
6,Choix,MX,26.7092,-108.3219,89.6,18,100,3.85,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,51.8,43,75,11.5,broken clouds
8,Aykhal,RU,66.0,111.5,-7.08,83,37,4.79,scattered clouds
9,Ambon,ID,-3.6954,128.1814,80.42,79,79,3.18,broken clouds
10,Albany,US,42.6001,-73.9662,73.4,56,90,8.05,overcast clouds
11,Chuy,UY,-33.6971,-53.4616,64.42,81,95,23.73,overcast clouds
12,Pudozh,RU,61.8099,36.5345,32.13,89,6,5.68,clear sky
13,Saskylakh,RU,71.9167,114.0833,18.03,94,98,7.65,overcast clouds
14,Lorengau,PG,-2.0226,147.2712,80.22,85,97,13.98,light rain
15,Vanimo,PG,-2.6741,141.3028,78.15,87,99,6.91,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,53.6,54,75,13.8,broken clouds
17,Mataura,NZ,-46.1927,168.8643,46.99,97,89,1.99,overcast clouds
18,Vacaria,BR,-28.5122,-50.9339,87.01,10,6,5.99,clear sky
19,Klaksvik,FO,62.2266,-6.589,39.2,70,75,2.3,broken clouds
20,Nikolskoye,RU,59.7035,30.7861,44.6,42,0,2.24,light rain
21,Ribeira Grande,PT,38.5167,-28.7,64.4,88,75,4.61,broken clouds
22,Nanortalik,GL,60.1432,-45.2371,38.7,65,1,3.09,clear sky
23,Rikitea,PF,-23.1203,-134.9692,78.24,75,8,11.14,light rain
24,Vaini,TO,-21.2,-175.2,66.2,94,20,2.3,few clouds
25,Ponta Do Sol,PT,32.6667,-17.1,62.01,74,97,1.99,overcast clouds
26,Riyadh,SA,24.6877,46.7219,93.2,10,87,17.27,dust
27,Butaritari,KI,3.0707,172.7902,80.96,76,60,8.77,light rain
28,Hobart,AU,-42.8794,147.3294,46.99,81,90,10.36,overcast clouds
29,Bethel,US,41.3712,-73.414,62.6,77,90,9.22,light rain
30,Bredasdorp,ZA,-34.5322,20.0403,60.8,94,100,3.44,overcast clouds
31,Norman Wells,CA,65.282,-126.8329,-7.6,71,1,6.91,clear sky
32,Mahebourg,MU,-20.4081,57.7,78.8,89,40,5.75,light rain
33,Qaanaaq,GL,77.484,-69.3632,23.02,92,100,8.21,light snow
34,Barrow,US,71.2906,-156.7887,-18.4,76,1,6.91,clear sky
35,Kruisfontein,ZA,-34.0033,24.7314,64.0,79,100,1.01,overcast clouds
36,Bontang,ID,0.1333,117.5,77.65,87,51,4.23,broken clouds
37,Zhezkazgan,KZ,47.8043,67.7144,45.52,60,0,20.29,clear sky
38,Pacific Grove,US,36.6177,-121.9166,55.4,67,40,8.05,scattered clouds
39,Tambura,SS,5.6,27.4667,78.35,57,85,2.33,overcast clouds
40,Arraial Do Cabo,BR,-22.9661,-42.0278,87.8,37,0,9.22,clear sky
41,Dingle,PH,10.9995,122.6711,75.69,83,57,5.86,broken clouds
42,Kidal,ML,18.4411,1.4078,96.75,6,2,4.05,clear sky
43,Busselton,AU,-33.65,115.3333,61.0,97,100,7.25,light rain
44,Mar Del Plata,AR,-38.0023,-57.5575,66.2,63,40,16.11,light rain
45,Cape Town,ZA,-33.9258,18.4232,68.0,82,20,16.11,few clouds
46,Rawson,AR,-43.3002,-65.1023,71.08,37,10,13.96,clear sky
47,Pisco,PE,-13.7,-76.2167,77.0,57,0,12.66,clear sky
48,Pasni,PK,25.2631,63.471,79.48,70,0,14.47,clear sky
49,Port Alfred,ZA,-33.5906,26.891,67.28,90,98,2.64,overcast clouds
50,Verkh-Usugli,RU,52.7,115.1667,14.32,46,61,6.49,broken clouds
51,Acarau,BR,-2.8856,-40.12,83.88,71,72,15.12,broken clouds
52,Xichang,CN,27.8964,102.2634,54.63,77,19,3.76,few clouds
53,Strezhevoy,RU,60.7333,77.5889,41.0,60,90,8.95,light rain
54,Vestmannaeyjar,IS,63.4427,-20.2734,39.2,65,90,25.32,overcast clouds
55,Calmar,CA,53.2668,-113.8187,26.6,74,81,8.05,broken clouds
56,Mahajanga,MG,-15.7167,46.3167,78.8,94,20,2.3,few clouds
57,Hilo,US,19.7297,-155.09,70.0,56,1,4.61,clear sky
58,Severo-Kurilsk,RU,50.6789,156.125,27.75,72,47,8.59,scattered clouds
59,Nouadhibou,MR,20.931,-17.0347,78.8,44,5,16.11,clear sky
60,Provideniya,RU,64.3833,-173.3,9.09,85,100,23.15,light snow
61,Sur,OM,22.5667,59.5289,82.71,61,0,9.17,clear sky
62,Salalah,OM,17.0151,54.0924,82.4,74,20,4.61,few clouds
63,Saint-Joseph,RE,-21.3667,55.6167,78.8,73,0,2.3,clear sky
64,Ola,RU,59.5833,151.2833,9.25,73,100,15.55,overcast clouds
65,Lerik,AZ,38.7726,48.4128,51.8,100,40,2.3,scattered clouds
66,Bryan,US,30.6744,-96.37,82.0,27,1,6.44,clear sky
67,Komatipoort,ZA,-25.4332,31.9548,71.6,64,0,4.61,clear sky
68,Cherskiy,RU,68.75,161.3,-30.21,99,65,4.76,broken clouds
69,Hermanus,ZA,-34.4187,19.2345,66.99,85,100,1.99,overcast clouds
70,Shetpe,KZ,44.1667,52.1167,66.99,23,3,24.58,clear sky
71,Muros,ES,42.7762,-9.0603,57.0,45,5,19.75,clear sky
72,Sao Filipe,CV,14.8961,-24.4956,76.24,63,1,5.66,clear sky
73,Fortuna,US,40.5982,-124.1573,55.0,71,40,10.36,scattered clouds
74,Qaqortoq,GL,60.7167,-46.0333,55.4,18,20,11.5,few clouds
75,Sechura,PE,-5.5569,-80.8222,80.78,59,95,7.09,overcast clouds
76,Kavieng,PG,-2.5744,150.7967,78.28,84,100,4.65,moderate rain
77,Nishihara,JP,26.1842,127.7558,69.8,73,40,12.66,scattered clouds
78,Hay River,CA,60.8156,-115.7999,8.6,61,100,6.91,overcast clouds
79,Bongandanga,CD,1.5,21.05,71.8,85,100,3.83,overcast clouds
80,Atuona,PF,-9.8,-139.0333,80.49,77,34,18.5,scattered clouds
81,Esperanza,DO,19.5847,-70.9849,84.99,57,60,5.99,broken clouds
82,Praya,CV,14.9215,-23.5087,82.4,44,0,19.57,clear sky
83,Pangnirtung,CA,66.1451,-65.7125,26.6,74,75,3.44,broken clouds
84,Tongzi,CN,28.7829,105.0877,58.19,86,100,2.59,light rain
85,Shira,RU,54.4911,89.9531,32.45,72,96,0.34,overcast clouds
86,Castro,BR,-24.7911,-50.0119,79.92,39,2,7.2,clear sky
87,Onverwacht,SR,5.5833,-55.1833,89.6,58,40,5.75,scattered clouds
88,Teonthar,IN,24.9833,81.65,85.69,27,66,8.57,broken clouds
89,Soure,BR,-0.7167,-48.5233,82.83,74,92,10.74,light rain
90,Springbok,ZA,-29.6643,17.8865,76.55,29,10,4.0,clear sky
91,Cayenne,GF,4.9333,-52.3333,89.6,62,40,11.5,scattered clouds
92,Basco,PH,20.4487,121.9702,76.82,81,65,20.38,broken clouds
93,Kapaa,US,22.0752,-159.319,71.01,83,75,5.75,light rain
94,Touros,BR,-5.1989,-35.4608,86.0,70,40,13.8,scattered clouds
95,Maceio,BR,-9.6658,-35.7353,75.2,94,90,13.8,mist
96,Ulaangom,MN,49.9811,92.0667,34.9,34,10,1.66,clear sky
97,Mbanza-Ngungu,CD,-5.25,14.8667,71.08,91,86,3.11,overcast clouds
98,Carnarvon,AU,-24.8667,113.6333,77.0,100,90,13.8,overcast clouds
99,Isangel,VU,-19.55,169.2667,78.46,87,99,8.84,overcast clouds
100,Dongsheng,CN,39.8161,109.9776,44.46,82,93,10.04,moderate rain
101,Teya,RU,60.3778,92.6267,29.89,94,100,2.53,overcast clouds
102,Cabo San Lucas,MX,22.8909,-109.9124,78.8,64,75,4.61,broken clouds
103,Port Hardy,CA,50.6996,-127.4199,42.8,61,20,10.36,few clouds
104,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,1,3.44,clear sky
105,Fort William,GB,56.8165,-5.1121,37.99,82,89,5.1,overcast clouds
106,Bengkulu,ID,-3.8004,102.2655,75.92,89,85,3.85,light rain
107,Peleduy,RU,59.6289,112.7406,-8.7,100,28,2.37,scattered clouds
108,Bubaque,GW,11.2833,-15.8333,77.18,72,13,14.41,few clouds
109,Tasiilaq,GL,65.6145,-37.6368,32.0,64,0,3.44,clear sky
110,Khatanga,RU,71.9667,102.5,19.92,86,92,13.89,overcast clouds
111,Progreso,MX,21.2833,-89.6667,102.99,39,20,6.91,few clouds
112,Yellowknife,CA,62.456,-114.3525,1.0,71,75,6.91,light snow
113,Leningradskiy,RU,69.3833,178.4167,-20.34,96,48,6.33,scattered clouds
114,Bima,ID,-8.4667,118.7167,75.38,94,22,3.69,few clouds
115,Callaway,US,30.153,-85.5699,71.6,83,90,12.66,overcast clouds
116,Oktyabrskiy,RU,54.4815,53.471,47.5,84,100,4.05,light rain
117,Santa Luzia,BR,-19.7697,-43.8514,82.4,44,0,5.75,clear sky
118,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,0,6.91,clear sky
119,Lamesa,US,32.7376,-101.951,82.0,6,0,17.0,clear sky
120,Bluff,NZ,-46.6,168.3333,46.99,97,53,1.99,broken clouds
121,Chokurdakh,RU,70.6333,147.9167,-19.32,99,52,8.12,broken clouds
122,Rudsar,IR,37.1376,50.288,55.4,94,90,2.3,mist
123,Hasaki,JP,35.7333,140.8333,44.6,87,20,3.44,few clouds
124,Hami,CN,42.8,93.45,54.32,28,63,5.97,broken clouds
125,Noumea,NC,-22.2763,166.4572,78.01,100,90,3.44,overcast clouds
126,Monrovia,LR,6.3005,-10.7969,84.2,74,40,6.91,light rain
127,Jinchang,CN,38.4953,102.1739,45.93,63,62,1.36,broken clouds
128,Faanui,PF,-16.4833,-151.75,81.46,76,100,11.83,overcast clouds
129,Puerto Cabezas,NI,14.0351,-83.3888,86.0,84,75,6.91,broken clouds
130,Longyearbyen,SJ,78.2186,15.6401,19.4,58,40,18.41,scattered clouds
131,Santa Barbara,US,34.7333,-120.0343,66.0,76,40,5.35,haze
132,Visby,SE,57.6409,18.296,42.01,75,0,19.57,clear sky
133,Portland,US,45.5234,-122.6762,48.99,65,1,4.61,clear sky
134,Nanning,CN,22.8167,108.3167,73.4,88,20,6.71,light rain
135,Rocha,UY,-34.4833,-54.3333,63.16,83,93,28.63,overcast clouds
136,Yeppoon,AU,-23.1333,150.7333,68.0,60,75,11.48,broken clouds
137,Margate,GB,51.3813,1.3862,44.01,64,60,1.99,broken clouds
138,Bambous Virieux,MU,-20.3428,57.7575,78.8,89,40,5.75,light rain
139,Mutoko,ZW,-17.397,32.2268,65.23,60,1,8.9,clear sky
140,Dali,CN,25.7,100.1833,54.41,73,0,5.46,clear sky
141,Georgetown,MY,5.4112,100.3354,78.8,89,20,2.3,few clouds
142,Merauke,ID,-8.4667,140.3333,77.2,83,9,3.27,clear sky
143,Palmer,US,42.1584,-72.3287,62.01,71,75,11.5,broken clouds
144,Nedjo,ET,9.5046,35.5019,71.19,28,53,3.62,broken clouds
145,Aklavik,CA,68.2191,-135.0107,-11.2,64,1,3.44,clear sky
146,Port Macquarie,AU,-31.4333,152.9167,46.99,78,0,9.71,clear sky
147,Verkhnevilyuysk,RU,63.4453,120.3167,-0.27,99,53,4.99,broken clouds
148,Kahului,US,20.8947,-156.47,69.8,83,20,0.27,few clouds
149,Clyde River,CA,70.4692,-68.5914,30.2,74,1,17.27,clear sky
150,Hervey Bay,AU,-25.2986,152.8535,64.0,51,0,4.0,clear sky
151,Le Moule,GP,16.3332,-61.3473,82.4,54,90,11.5,overcast clouds
152,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,26.6,80,40,6.71,scattered clouds
153,Padang,ID,-0.9492,100.3543,77.0,94,75,5.75,moderate rain
154,Victoria,HK,22.2855,114.1577,73.0,85,37,9.13,scattered clouds
155,Ust-Ishim,RU,57.6935,71.1665,37.18,81,97,10.42,overcast clouds
156,Pevek,RU,69.7008,170.3133,-26.39,100,81,3.6,broken clouds
157,Naze,JP,28.3667,129.4833,64.96,70,25,19.13,scattered clouds
158,Saldanha,ZA,-33.0117,17.9442,68.0,64,99,9.22,overcast clouds
159,Alyangula,AU,-13.8483,136.4192,71.6,100,85,6.02,overcast clouds
160,Mitsamiouli,KM,-11.3847,43.2844,81.81,75,86,10.94,overcast clouds
161,Banda Aceh,ID,5.5577,95.3222,80.17,78,62,3.42,broken clouds
162,Lake Havasu City,US,34.4839,-114.3224,84.0,9,1,3.44,clear sky
163,Inndyr,NO,67.0338,14.0276,35.6,87,75,14.97,light rain and snow
164,Hamilton,US,39.1834,-84.5333,54.0,82,90,16.11,overcast clouds
165,Bonavista,CA,48.6499,-53.1147,36.0,100,100,8.05,light rain
166,Hays,US,30.0502,-98.0336,82.99,29,11,5.01,few clouds
167,San Patricio,US,28.017,-97.5169,86.0,48,1,6.91,clear sky
168,Kilindoni,TZ,-7.9139,39.6668,81.52,79,97,14.92,light rain
169,Bandarbeyla,SO,9.4942,50.8122,80.04,69,56,8.28,broken clouds
170,Iqaluit,CA,63.7506,-68.5145,26.6,93,75,23.02,broken clouds
171,Katsuura,JP,35.1333,140.3,55.4,76,20,4.61,few clouds
172,Bathsheba,BB,13.2167,-59.5167,78.8,69,20,14.97,volcanic ash
173,Meulaboh,ID,4.1363,96.1285,77.25,88,96,3.44,overcast clouds
174,Alghero,IT,40.5589,8.3181,60.8,88,0,9.22,clear sky
175,Umba,RU,66.6871,34.3429,34.68,87,99,20.07,overcast clouds
176,Sobolevo,RU,54.4299,31.8996,48.49,67,1,7.38,clear sky
177,Mahibadhoo,MV,3.7833,72.9667,83.1,71,48,5.03,scattered clouds
178,Constitucion,CL,-35.3333,-72.4167,68.58,48,0,17.36,clear sky
179,Vestmanna,FO,62.1564,-7.1664,39.2,70,75,2.3,broken clouds
180,Kodiak,US,57.79,-152.4072,39.2,93,90,19.57,moderate rain
181,Matara,LK,5.9485,80.5353,78.89,80,54,0.63,broken clouds
182,Sarankhola,BD,22.3082,89.7897,79.38,77,17,7.31,few clouds
183,Saint George,US,37.1041,-113.5841,73.99,11,1,5.12,clear sky
184,Klichka,RU,50.4457,117.996,26.46,27,100,10.87,overcast clouds
185,Sikasso,ML,10.9167,-7.0,102.22,14,70,4.45,broken clouds
186,Puerto Carreno,CO,6.189,-67.4859,91.15,51,78,1.83,broken clouds
187,Romans-Sur-Isere,FR,45.0464,5.0562,55.4,88,90,12.66,overcast clouds
188,East London,ZA,-33.0153,27.9116,69.8,94,75,5.75,broken clouds
189,Narsaq,GL,60.9167,-46.05,55.4,18,20,11.5,few clouds
190,Xiongyue,CN,40.1774,122.1228,50.72,54,100,13.8,light rain
191,Yulara,AU,-25.2406,130.9889,62.6,42,20,10.36,few clouds
192,Muravlenko,RU,63.7898,74.523,33.66,99,100,15.57,overcast clouds
193,Zhashkiv,UA,49.2454,30.1102,48.07,49,0,6.98,clear sky
194,Morro Bay,US,35.3658,-120.8499,62.01,71,1,14.97,clear sky
195,Nome,US,64.5011,-165.4064,21.2,86,90,23.02,snow
196,Tiksi,RU,71.6872,128.8694,-0.63,76,96,6.96,overcast clouds
197,Hithadhoo,MV,-0.6,73.0833,83.68,67,69,10.87,broken clouds
198,Osoyoos,CA,49.0331,-119.4524,42.8,42,49,1.14,scattered clouds
199,Ust-Ilimsk,RU,58.0006,102.6619,25.97,93,100,7.07,overcast clouds
200,Kaitangata,NZ,-46.2817,169.8464,52.88,97,79,4.12,broken clouds
201,Villacarrillo,ES,38.1156,-3.0848,57.45,62,74,7.63,broken clouds
202,Agadir,MA,30.4202,-9.5982,69.8,60,0,13.8,clear sky
203,Yinchuan,CN,38.4681,106.2731,46.99,59,94,8.57,overcast clouds
204,Auki,SB,-8.7676,160.7034,76.96,87,86,2.86,overcast clouds
205,Markova,UA,48.6758,24.4138,55.4,30,0,6.71,clear sky
206,Shiraz,IR,29.6036,52.5388,69.8,17,75,13.8,broken clouds
207,Broken Hill,AU,-31.95,141.4333,46.4,57,0,4.61,clear sky
208,Winnemucca,US,40.973,-117.7357,44.6,31,1,11.5,clear sky
209,Laguna De Perlas,NI,12.3429,-83.6712,84.2,84,40,4.61,scattered clouds
210,Solnechnyy,RU,50.7214,136.6319,30.47,76,100,3.38,overcast clouds
211,New Norfolk,AU,-42.7826,147.0587,46.99,76,84,1.99,broken clouds
212,Indiana,US,40.0003,-86.2503,50.0,93,90,19.57,moderate rain
213,Torbay,CA,47.6666,-52.7314,36.0,100,90,4.61,light rain
214,Bud,US,39.447,-86.1758,50.0,95,100,16.31,overcast clouds
215,Ambilobe,MG,-13.2,49.05,74.61,90,64,2.89,light rain
216,Newport,GB,51.5877,-2.9984,44.01,56,87,3.0,overcast clouds
217,Barga,IT,44.0742,10.4808,57.0,100,100,18.41,light rain
218,Victor Harbor,AU,-35.5667,138.6167,55.99,75,78,6.04,broken clouds
219,Dikson,RU,73.5069,80.5464,27.55,91,100,27.31,overcast clouds
220,Altos,BR,-5.0381,-42.46,86.0,66,75,5.75,broken clouds
221,Flinders,AU,-34.5833,150.8552,51.8,50,2,14.97,clear sky
222,Tongliao,CN,43.6125,122.2653,51.91,48,100,24.65,overcast clouds
223,Severnyy-Kospashskiy,RU,59.0925,57.8008,37.0,100,100,3.42,overcast clouds
224,Ous,RU,60.9058,61.5186,35.31,87,70,9.64,broken clouds
225,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,0,2.3,light rain
226,Meadow Lake,US,34.8014,-106.5436,71.01,10,20,4.61,few clouds
227,Ngunguru,NZ,-35.6167,174.5,63.0,97,64,1.01,broken clouds
228,Kloulklubed,PW,7.0419,134.2556,78.8,89,90,5.1,moderate rain
229,Khandbari,NP,27.3747,87.2039,66.7,12,39,5.93,scattered clouds
230,Gomel,BY,52.4345,30.9754,55.4,38,0,8.95,clear sky
231,Port Blair,IN,11.6667,92.75,82.47,75,99,4.05,overcast clouds
232,Fort Nelson,CA,58.8053,-122.7002,19.4,45,20,14.97,few clouds
233,Enumclaw,US,47.2043,-121.9915,48.99,69,8,1.99,clear sky
234,Mpongwe,ZM,-13.5091,28.155,65.16,77,80,7.61,broken clouds
235,Geraldton,AU,-28.7667,114.6,75.2,94,90,23.02,overcast clouds
236,Caravelas,BR,-17.7125,-39.2481,82.65,60,54,7.07,broken clouds
